2021-07-05 16:35:08 INFO  [IMOOD-Register] Thread-33 org.springframework.cloud.netflix.eureka.server.EurekaServerBootstrap Setting the eureka configuration..
2021-07-05 16:35:08 INFO  [IMOOD-Register] Thread-33 org.springframework.cloud.netflix.eureka.server.EurekaServerBootstrap Eureka data center value eureka.datacenter is not set, defaulting to default
2021-07-05 16:35:08 INFO  [IMOOD-Register] Thread-33 org.springframework.cloud.netflix.eureka.server.EurekaServerBootstrap Eureka environment value eureka.environment is not set, defaulting to test
2021-07-05 16:35:08 INFO  [IMOOD-Register] Thread-33 org.springframework.cloud.netflix.eureka.server.EurekaServerBootstrap isAws returned false
2021-07-05 16:35:08 INFO  [IMOOD-Register] Thread-33 org.springframework.cloud.netflix.eureka.server.EurekaServerBootstrap Initialized server context
2021-07-05 16:35:08 INFO  [IMOOD-Register] Thread-33 com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl Got 1 instances from neighboring DS node
2021-07-05 16:35:08 INFO  [IMOOD-Register] Thread-33 com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl Renew threshold is: 1
2021-07-05 16:35:08 INFO  [IMOOD-Register] Thread-33 com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl Changing status to UP
2021-07-05 16:35:08 INFO  [IMOOD-Register] main org.apache.coyote.http11.Http11NioProtocol Starting ProtocolHandler ["http-nio-7001"]
2021-07-05 16:35:08 INFO  [IMOOD-Register] Thread-33 org.springframework.cloud.netflix.eureka.server.EurekaServerInitializerConfiguration Started Eureka Server
2021-07-05 16:35:08 INFO  [IMOOD-Register] main org.springframework.boot.web.embedded.tomcat.TomcatWebServer Tomcat started on port(s): 7001 (http) with context path '/register'
2021-07-05 16:35:08 INFO  [IMOOD-Register] main org.springframework.cloud.netflix.eureka.serviceregistry.EurekaAutoServiceRegistration Updating port to 7001
2021-07-05 16:35:08 INFO  [IMOOD-Register] main com.dexlace.register.IMoodRegisterApplication Started IMoodRegisterApplication in 11.578 seconds (JVM running for 13.605)
2021-07-05 16:35:08 INFO  [IMOOD-Register] RMI TCP Connection(1)-192.168.205.1 org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/register] Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-07-05 16:35:08 INFO  [IMOOD-Register] RMI TCP Connection(1)-192.168.205.1 org.springframework.web.servlet.DispatcherServlet Initializing Servlet 'dispatcherServlet'
2021-07-05 16:35:08 INFO  [IMOOD-Register] RMI TCP Connection(1)-192.168.205.1 org.springframework.web.servlet.DispatcherServlet Completed initialization in 7 ms
2021-07-05 16:35:41 INFO  [IMOOD-Register] http-nio-7001-exec-2 com.netflix.eureka.registry.AbstractInstanceRegistry Registered instance IMOOD-AUTH/www.imoocnews.com:IMOOD-Auth:8101 with status UP (replication=false)
2021-07-05 16:36:08 INFO  [IMOOD-Register] Eureka-EvictionTimer com.netflix.eureka.registry.AbstractInstanceRegistry Running the evict task with compensationTime 0ms
2021-07-05 16:36:30 INFO  [IMOOD-Register] http-nio-7001-exec-2 com.netflix.eureka.registry.AbstractInstanceRegistry Registered instance IMOOD-GATEWAY/www.imoocnews.com:IMOOD-Gateway:8301 with status UP (replication=false)
